alpha,beta,cluster_id
-0.51304597,0.36034146,1
-0.27932563,0.36034146,1
1.9161533,-1.7736586,3
-0.12516972,0.6651982,1
-0.20473407,0.5127698,1
-0.25694817,0.20791307,4
-0.38624027,0.20791307,4
-0.3738083,0.5127698,1
-0.14506073,0.20791307,4
-0.07544191,-0.4018023,4
-0.4732637,-0.096944615,4
-0.07544197,0.20791307,4
0.42929456,0.20791307,4
0.021527119,-0.7066591,4
0.22789715,-0.7066591,0
11.230156,-8.328087,2
0.2303836,0.36034146,4
-0.56277364,0.8176266,1
-0.06798276,-0.096944615,4
-0.610015,0.97005504,1
-0.5379098,0.97005504,1
-0.5105595,0.97005504,1
-0.35889,0.6651982,1
-0.18732932,0.97005504,1
-0.5503417,0.8176266,1
3.8779123,-3.1455152,3
-0.18732932,-0.24937299,4
-0.1425743,-0.24937299,4
0.05136373,0.36034146,4
0.41934878,-0.7066591,0
-0.5553145,0.6651982,1
0.58593684,0.20791307,4
0.5461547,-0.5542307,0
4.827712,-3.6028023,3
0.91165346,-0.40180048,0
1.6874057,-1.1639442,0
3.4328494,-2.68823,3
-0.26440728,0.20791307,4
-0.15997909,0.20791307,4
2.259275,-3.450373,3
2.1225233,-2.3833733,3
-0.22959791,0.055484682,4
2.6769876,-1.9260881,3
-0.21219316,0.20791216,4
-0.15997909,0.055484682,4
8.445404,-7.108659,2
-0.28181198,0.20791307,4
-0.28181198,0.6651982,1
-0.14506073,0.5127698,1
0.14087366,-0.8590884,0
-0.5205051,0.97005504,1
-0.597583,0.6651982,1
1.7968069,-2.9930868,3
-0.18484299,-0.24937299,4
0.06876847,-0.4018023,4
0.14584643,-0.24937299,4
-0.24202983,0.5127698,1
-0.5354234,0.8176266,1
0.046390958,-0.096944615,4
-0.6846066,0.97005504,1
0.0339591,-0.5542307,4
1.0757548,-0.5542307,0
0.0712548,-0.24937299,4
-0.10776491,0.6651982,1
0.03893187,-0.7066591,4
-0.23954338,0.8176266,1
-0.35143077,0.8176266,1
1.5407091,-0.5542307,0
0.1359009,0.20791307,4
-0.54039615,0.97005504,1
-0.6249333,0.97005504,1
-0.27435282,0.97005504,1
-0.17241101,-0.24937299,4
-0.1276561,-0.4018023,4
-0.28181204,0.6651982,1
-0.16743825,0.6651982,1
1.0857005,-0.70666003,0
-0.41359055,-0.096943706,4
-0.54288256,0.8176266,1
-0.010795932,0.6651982,1
0.08120045,0.20791307,4
-0.35143083,0.97005504,1
-0.41607687,0.6651982,1
-0.24451621,0.97005504,1
0.036445424,-0.7066591,4
1.9907452,-2.0785174,3
-0.51304597,0.97005504,1
0.10357785,0.20791307,4
-0.28429842,0.97005504,1
-0.50558674,0.97005504,1
-0.013282257,0.36034057,4
-0.4036449,0.5127698,1
-0.520505,0.97005504,1
-0.67963386,0.97005504,1
-0.003336721,0.20791307,4
-0.18484287,0.36034146,1
-0.47823647,0.97005504,1
-0.37132192,0.5127698,1
-0.19976118,-0.096943706,4
-0.6274197,0.97005504,1
-0.19478841,-0.7066591,4
-0.2146796,-0.24937208,4
0.1359009,-0.85908747,0
0.7450656,-1.6212302,0
-0.39618576,0.20791307,4
0.48896778,-1.3163735,0
6.983409,-2.2309458,3
1.3890396,-2.0785165,0
-0.41607687,0.36034146,1
0.22541083,0.055482864,4
-0.043118924,0.6651982,1
-0.58515114,0.8176266,1
-0.20970683,0.20791307,4
-0.020741468,-0.096943706,4
-0.44839987,0.5127698,1
-0.35888994,0.6651982,1
-0.0928466,0.055484682,4
0.7077697,-0.7066582,0
0.7574974,-0.7066582,0
-0.51304597,0.97005504,1
0.15579197,0.20791307,4
0.046390958,-0.7066591,4
0.44421273,-1.1639442,0
-0.4135905,0.5127698,1
1.6202735,-2.688231,3
0.20054688,-0.5542298,4
0.16822395,0.8176266,1
2.6297462,-0.7066582,3
2.6446648,-1.0115159,3
-0.41856328,0.97005504,1
-0.36386275,0.5127698,1
0.6182598,-0.70666003,0
0.91413987,-0.4018023,0
3.2438838,-2.8406603,3
-0.10527858,-0.24937299,4
-0.2718665,-0.24937299,4
1.0732685,-1.9260881,0
-0.06549638,0.36034146,4
0.1284418,-0.8590884,0
0.09860508,-0.5542289,4
0.13590078,-0.5542289,4
-0.27932563,0.97005504,1
0.20551977,0.20791307,4
0.51631796,0.6651982,1
0.20303331,-1.0115167,0
0.5262635,-0.40180138,4
0.051363844,-0.24937299,4
-0.54288256,0.6651982,1
0.72268814,-1.0115167,0
-0.4011585,0.6651982,1
-0.038146093,0.20791216,4
-0.018255025,0.36034146,4
-0.46829095,0.97005504,1
0.09860508,0.97005504,1
0.11849616,-0.2493739,4
-0.4011585,0.5127698,1
-0.48072287,0.6651982,1
-0.4235361,0.8176266,1
-0.22462514,-0.4018023,4
-0.22959797,-0.5542307,4
0.1955741,-1.0115159,0
0.58842325,-1.4688019,0
-0.050578073,-0.5542307,4
-0.3017031,-0.096944615,4
-0.35889,-0.096944615,4
0.42680812,-1.4688028,0
0.7202017,-1.1639451,0
0.25276113,-1.3163735,0
0.19308779,0.20791307,4
0.2825976,-0.8590884,0
-0.50558674,0.6651982,1
-0.56526,0.97005504,1
-0.39867213,0.8176266,1
-0.32159418,0.6651982,1
-0.39369944,0.5127698,1
0.27513853,-1.0115159,0
-0.07046921,0.055483773,4
-0.1923021,-0.85908747,4
0.06876847,-1.3163735,0
-0.5304506,0.97005504,1
0.34475738,0.20791216,4
-0.5901239,0.97005504,1
-0.5851511,0.5127698,1
-0.39121297,0.055484682,4
-0.23208429,-0.096944615,4
1.1926152,-0.8590884,0
-0.5553145,0.36034146,1
-0.36386275,0.5127698,1
-0.22213875,-0.40180138,4
0.46907657,-0.85908747,0
-0.1649518,0.6651982,1
1.674974,-2.0785165,3
-0.4409407,0.6651982,1
0.85446656,-1.4688028,0
-0.3862402,0.8176266,1
-0.42353597,0.97005504,1
0.8519801,-1.6212294,0
-0.4459135,0.5127698,1
0.62323266,-0.40180048,0
0.95640844,-0.5542289,0
1.2995294,-0.40180138,0
-0.20473407,-0.7066591,4
0.4690767,-1.3163735,0
0.29005694,-1.7736596,0
-0.5205051,0.36034146,1
-0.07046915,0.8176266,1
-0.3191078,0.5127698,1
